#---
#profile: tabular-data-package
#name: shedding
#title: Temperature-specific shedding success of Schistosoma mansoni cercaria from
#  Biomphalaria glabrata snails
#author: K.H. Nguyen, P.H. Boersch-Supan, V.J. Harwood, J.R. Rohr
#path: https://github.com/pboesu/schistosomiasis
#fields:
#- name: temperature
#  type: number
#- name: variable
#  type: string
#- name: snail_id
#  type: string
#  levels:
#  - '1'
#  - '10'
#  - '101'
#  - '102'
#  - '103'
#  - '105'
#  - '107'
#  - '108'
#  - '109'
#  - '11'
#  - '110'
#  - '111'
#  - '112'
#  - '113'
#  - '114'
#  - '116'
#  - '117'
#  - '12'
#  - '120'
#  - '121'
#  - '122'
#  - '123'
#  - '125'
#  - '127'
#  - '13'
#  - '130'
#  - '131'
#  - '133'
#  - '134'
#  - '135'
#  - '136'
#  - '138'
#  - '14'
#  - '140'
#  - '142'
#  - '143'
#  - '145'
#  - '146'
#  - '147'
#  - '148'
#  - '150'
#  - '153'
#  - '154'
#  - '155'
#  - '158'
#  - '159'
#  - '16'
#  - '160'
#  - '161'
#  - '162'
#  - '166'
#  - '170'
#  - '173'
#  - '18'
#  - '20'
#  - '21'
#  - '25'
#  - '26'
#  - '28'
#  - '29'
#  - '3'
#  - '31'
#  - '32'
#  - '36'
#  - '38'
#  - '39'
#  - '4'
#  - '42'
#  - '43'
#  - '45'
#  - '47'
#  - '49'
#  - '5'
#  - '52'
#  - '53'
#  - '54'
#  - '55'
#  - '57'
#  - '6'
#  - '60'
#  - '62'
#  - '64'
#  - '65'
#  - '70'
#  - '71'
#  - '72'
#  - '73'
#  - '74'
#  - '75'
#  - '76'
#  - '77'
#  - '78'
#  - '79'
#  - '8'
#  - '80'
#  - '81'
#  - '84'
#  - '85'
#  - '88'
#  - '89'
#  - '9'
#  - '90'
#  - '92'
#  - '94'
#  - '97'
#  - '98'
#  - '99'
#- name: replicate_id
#  type: string
#- name: value
#  type: number
#- name: source
#  type: string
#--- 
temperature,variable,snail_id,replicate_id,value,source
5,cercariae_count_2h,14,First,0,Nguyen2020
5,cercariae_count_2h,26,First,0,Nguyen2020
5,cercariae_count_2h,42,First,0,Nguyen2020
5,cercariae_count_2h,77,First,0,Nguyen2020
5,cercariae_count_2h,78,First,0,Nguyen2020
5,cercariae_count_2h,97,First,0,Nguyen2020
5,cercariae_count_2h,113,First,0,Nguyen2020
5,cercariae_count_2h,121,First,0,Nguyen2020
5,cercariae_count_2h,140,First,0,Nguyen2020
5,cercariae_count_2h,155,First,0,Nguyen2020
5,cercariae_count_2h,158,First,0,Nguyen2020
5,cercariae_count_2h,161,First,0,Nguyen2020
9,cercariae_count_2h,4,First,0,Nguyen2020
9,cercariae_count_2h,10,First,0,Nguyen2020
9,cercariae_count_2h,13,First,0,Nguyen2020
9,cercariae_count_2h,29,First,0,Nguyen2020
9,cercariae_count_2h,38,First,0,Nguyen2020
9,cercariae_count_2h,88,First,0,Nguyen2020
9,cercariae_count_2h,107,First,0,Nguyen2020
9,cercariae_count_2h,112,First,0,Nguyen2020
9,cercariae_count_2h,122,First,0,Nguyen2020
9,cercariae_count_2h,153,First,164,Nguyen2020
9,cercariae_count_2h,166,First,0,Nguyen2020
9,cercariae_count_2h,170,First,0,Nguyen2020
13,cercariae_count_2h,32,First,0,Nguyen2020
13,cercariae_count_2h,53,First,324,Nguyen2020
13,cercariae_count_2h,54,First,0,Nguyen2020
13,cercariae_count_2h,71,First,0,Nguyen2020
13,cercariae_count_2h,79,First,192,Nguyen2020
13,cercariae_count_2h,94,First,164,Nguyen2020
13,cercariae_count_2h,99,First,396,Nguyen2020
13,cercariae_count_2h,105,First,0,Nguyen2020
13,cercariae_count_2h,109,First,0,Nguyen2020
13,cercariae_count_2h,146,First,0,Nguyen2020
13,cercariae_count_2h,159,First,0,Nguyen2020
17,cercariae_count_2h,16,First,0,Nguyen2020
17,cercariae_count_2h,21,First,116,Nguyen2020
17,cercariae_count_2h,43,First,140,Nguyen2020
17,cercariae_count_2h,45,First,320,Nguyen2020
17,cercariae_count_2h,49,First,24,Nguyen2020
17,cercariae_count_2h,90,First,180,Nguyen2020
17,cercariae_count_2h,111,First,0,Nguyen2020
17,cercariae_count_2h,135,First,0,Nguyen2020
17,cercariae_count_2h,138,First,0,Nguyen2020
17,cercariae_count_2h,147,First,124,Nguyen2020
17,cercariae_count_2h,160,First,104,Nguyen2020
17,cercariae_count_2h,173,First,260,Nguyen2020
17,cercariae_count_2h,173,First,260,Nguyen2020
21,cercariae_count_2h,5,First,660,Nguyen2020
21,cercariae_count_2h,25,First,4,Nguyen2020
21,cercariae_count_2h,39,First,0,Nguyen2020
21,cercariae_count_2h,60,First,848,Nguyen2020
21,cercariae_count_2h,75,First,388,Nguyen2020
21,cercariae_count_2h,76,First,0,Nguyen2020
21,cercariae_count_2h,84,First,672,Nguyen2020
21,cercariae_count_2h,101,First,476,Nguyen2020
21,cercariae_count_2h,133,First,0,Nguyen2020
21,cercariae_count_2h,145,First,100,Nguyen2020
21,cercariae_count_2h,154,First,272,Nguyen2020
21,cercariae_count_2h,162,First,304,Nguyen2020
25,cercariae_count_2h,1,First,0,Nguyen2020
25,cercariae_count_2h,11,First,788,Nguyen2020
25,cercariae_count_2h,12,First,0,Nguyen2020
25,cercariae_count_2h,20,First,472,Nguyen2020
25,cercariae_count_2h,52,First,0,Nguyen2020
25,cercariae_count_2h,74,First,0,Nguyen2020
25,cercariae_count_2h,80,First,1004,Nguyen2020
25,cercariae_count_2h,89,First,1548,Nguyen2020
25,cercariae_count_2h,98,First,404,Nguyen2020
25,cercariae_count_2h,108,First,432,Nguyen2020
25,cercariae_count_2h,114,First,0,Nguyen2020
25,cercariae_count_2h,125,First,1348,Nguyen2020
29,cercariae_count_2h,3,First,0,Nguyen2020
29,cercariae_count_2h,8,First,0,Nguyen2020
29,cercariae_count_2h,47,First,0,Nguyen2020
29,cercariae_count_2h,64,First,344,Nguyen2020
29,cercariae_count_2h,65,First,812,Nguyen2020
29,cercariae_count_2h,85,First,0,Nguyen2020
29,cercariae_count_2h,110,First,1132,Nguyen2020
29,cercariae_count_2h,117,First,1664,Nguyen2020
29,cercariae_count_2h,120,First,772,Nguyen2020
29,cercariae_count_2h,131,First,536,Nguyen2020
29,cercariae_count_2h,134,First,812,Nguyen2020
29,cercariae_count_2h,143,First,812,Nguyen2020
33,cercariae_count_2h,36,First,476,Nguyen2020
33,cercariae_count_2h,55,First,0,Nguyen2020
33,cercariae_count_2h,57,First,16,Nguyen2020
33,cercariae_count_2h,70,First,692,Nguyen2020
33,cercariae_count_2h,72,First,0,Nguyen2020
33,cercariae_count_2h,102,First,1660,Nguyen2020
33,cercariae_count_2h,116,First,760,Nguyen2020
33,cercariae_count_2h,123,First,4,Nguyen2020
33,cercariae_count_2h,127,First,2192,Nguyen2020
33,cercariae_count_2h,130,First,1020,Nguyen2020
33,cercariae_count_2h,142,First,616,Nguyen2020
33,cercariae_count_2h,148,First,292,Nguyen2020
37,cercariae_count_2h,6,First,0,Nguyen2020
37,cercariae_count_2h,9,First,0,Nguyen2020
37,cercariae_count_2h,18,First,0,Nguyen2020
37,cercariae_count_2h,28,First,412,Nguyen2020
37,cercariae_count_2h,31,First,0,Nguyen2020
37,cercariae_count_2h,62,First,216,Nguyen2020
37,cercariae_count_2h,73,First,0,Nguyen2020
37,cercariae_count_2h,81,First,268,Nguyen2020
37,cercariae_count_2h,92,First,384,Nguyen2020
37,cercariae_count_2h,103,First,0,Nguyen2020
37,cercariae_count_2h,136,First,1016,Nguyen2020
37,cercariae_count_2h,150,First,764,Nguyen2020
5,cercariae_count_2h,14,Second,0,Nguyen2020
5,cercariae_count_2h,26,Second,0,Nguyen2020
5,cercariae_count_2h,42,Second,0,Nguyen2020
5,cercariae_count_2h,77,Second,0,Nguyen2020
5,cercariae_count_2h,78,Second,0,Nguyen2020
5,cercariae_count_2h,97,Second,0,Nguyen2020
5,cercariae_count_2h,113,Second,0,Nguyen2020
5,cercariae_count_2h,121,Second,0,Nguyen2020
5,cercariae_count_2h,140,Second,0,Nguyen2020
5,cercariae_count_2h,155,Second,0,Nguyen2020
5,cercariae_count_2h,158,Second,0,Nguyen2020
5,cercariae_count_2h,161,Second,0,Nguyen2020
9,cercariae_count_2h,4,Second,0,Nguyen2020
9,cercariae_count_2h,10,Second,0,Nguyen2020
9,cercariae_count_2h,13,Second,0,Nguyen2020
9,cercariae_count_2h,29,Second,0,Nguyen2020
