#---
#profile: tabular-data-package
#name: hatch_24
#title: Temperature-specific hatching success of Schistosoma mansoni miracidia
#author: K.H. Nguyen, P.H. Boersch-Supan, V.J. Harwood, J.R. Rohr
#path: https://github.com/pboesu/schistosomiasis
#fields:
#- name: temperature
#  type: integer
#- name: variable
#  type: string
#- name: N_total
#  type: integer
#- name: N_hatched
#  type: integer
#- name: source
#  type: string
#--- 
temperature,variable,N_total,N_hatched,source
5,miracidial_hatching,10,3,Nguyen2020
5,miracidial_hatching,7,0,Nguyen2020
5,miracidial_hatching,11,5,Nguyen2020
5,miracidial_hatching,7,3,Nguyen2020
5,miracidial_hatching,11,2,Nguyen2020
5,miracidial_hatching,8,2,Nguyen2020
5,miracidial_hatching,21,2,Nguyen2020
5,miracidial_hatching,18,0,Nguyen2020
5,miracidial_hatching,31,9,Nguyen2020
5,miracidial_hatching,15,3,Nguyen2020
5,miracidial_hatching,19,1,Nguyen2020
5,miracidial_hatching,29,16,Nguyen2020
5,miracidial_hatching,19,7,Nguyen2020
5,miracidial_hatching,7,2,Nguyen2020
5,miracidial_hatching,15,6,Nguyen2020
5,miracidial_hatching,8,1,Nguyen2020
5,miracidial_hatching,14,2,Nguyen2020
5,miracidial_hatching,13,3,Nguyen2020
5,miracidial_hatching,44,12,Nguyen2020
5,miracidial_hatching,37,8,Nguyen2020
5,miracidial_hatching,25,9,Nguyen2020
5,miracidial_hatching,29,2,Nguyen2020
5,miracidial_hatching,9,1,Nguyen2020
5,miracidial_hatching,34,6,Nguyen2020
9,miracidial_hatching,16,2,Nguyen2020
9,miracidial_hatching,11,1,Nguyen2020
9,miracidial_hatching,11,1,Nguyen2020
9,miracidial_hatching,10,2,Nguyen2020
9,miracidial_hatching,7,1,Nguyen2020
9,miracidial_hatching,5,1,Nguyen2020
9,miracidial_hatching,5,2,Nguyen2020
9,miracidial_hatching,3,0,Nguyen2020
9,miracidial_hatching,9,2,Nguyen2020
9,miracidial_hatching,5,1,Nguyen2020
9,miracidial_hatching,5,0,Nguyen2020
9,miracidial_hatching,9,3,Nguyen2020
9,miracidial_hatching,9,2,Nguyen2020
9,miracidial_hatching,8,2,Nguyen2020
9,miracidial_hatching,8,1,Nguyen2020
9,miracidial_hatching,11,1,Nguyen2020
9,miracidial_hatching,9,1,Nguyen2020
9,miracidial_hatching,11,4,Nguyen2020
9,miracidial_hatching,15,4,Nguyen2020
9,miracidial_hatching,11,2,Nguyen2020
9,miracidial_hatching,9,3,Nguyen2020
9,miracidial_hatching,4,1,Nguyen2020
9,miracidial_hatching,13,3,Nguyen2020
9,miracidial_hatching,9,4,Nguyen2020
13,miracidial_hatching,16,5,Nguyen2020
13,miracidial_hatching,11,3,Nguyen2020
13,miracidial_hatching,11,4,Nguyen2020
13,miracidial_hatching,13,3,Nguyen2020
13,miracidial_hatching,9,5,Nguyen2020
13,miracidial_hatching,11,3,Nguyen2020
13,miracidial_hatching,6,3,Nguyen2020
13,miracidial_hatching,16,3,Nguyen2020
13,miracidial_hatching,35,6,Nguyen2020
13,miracidial_hatching,23,5,Nguyen2020
13,miracidial_hatching,16,4,Nguyen2020
13,miracidial_hatching,19,5,Nguyen2020
13,miracidial_hatching,26,6,Nguyen2020
13,miracidial_hatching,13,3,Nguyen2020
13,miracidial_hatching,16,3,Nguyen2020
13,miracidial_hatching,9,5,Nguyen2020
13,miracidial_hatching,15,6,Nguyen2020
13,miracidial_hatching,16,3,Nguyen2020
13,miracidial_hatching,12,6,Nguyen2020
13,miracidial_hatching,21,4,Nguyen2020
13,miracidial_hatching,8,2,Nguyen2020
13,miracidial_hatching,24,10,Nguyen2020
13,miracidial_hatching,18,5,Nguyen2020
13,miracidial_hatching,21,7,Nguyen2020
17,miracidial_hatching,13,6,Nguyen2020
17,miracidial_hatching,30,15,Nguyen2020
17,miracidial_hatching,12,7,Nguyen2020
17,miracidial_hatching,32,14,Nguyen2020
17,miracidial_hatching,19,6,Nguyen2020
17,miracidial_hatching,9,4,Nguyen2020
17,miracidial_hatching,14,5,Nguyen2020
17,miracidial_hatching,7,3,Nguyen2020
17,miracidial_hatching,12,3,Nguyen2020
17,miracidial_hatching,11,1,Nguyen2020
17,miracidial_hatching,20,10,Nguyen2020
17,miracidial_hatching,13,8,Nguyen2020
17,miracidial_hatching,10,4,Nguyen2020
17,miracidial_hatching,4,1,Nguyen2020
17,miracidial_hatching,8,1,Nguyen2020
17,miracidial_hatching,9,2,Nguyen2020
17,miracidial_hatching,8,1,Nguyen2020
17,miracidial_hatching,11,3,Nguyen2020
17,miracidial_hatching,25,8,Nguyen2020
17,miracidial_hatching,12,5,Nguyen2020
17,miracidial_hatching,8,1,Nguyen2020
17,miracidial_hatching,10,5,Nguyen2020
17,miracidial_hatching,8,1,Nguyen2020
17,miracidial_hatching,9,2,Nguyen2020
21,miracidial_hatching,18,6,Nguyen2020
21,miracidial_hatching,10,2,Nguyen2020
21,miracidial_hatching,8,2,Nguyen2020
21,miracidial_hatching,15,5,Nguyen2020
21,miracidial_hatching,11,2,Nguyen2020
21,miracidial_hatching,6,1,Nguyen2020
21,miracidial_hatching,8,2,Nguyen2020
21,miracidial_hatching,11,4,Nguyen2020
21,miracidial_hatching,18,6,Nguyen2020
21,miracidial_hatching,15,3,Nguyen2020
21,miracidial_hatching,9,1,Nguyen2020
21,miracidial_hatching,9,2,Nguyen2020
21,miracidial_hatching,12,2,Nguyen2020
21,miracidial_hatching,8,2,Nguyen2020
21,miracidial_hatching,13,2,Nguyen2020
21,miracidial_hatching,10,4,Nguyen2020
21,miracidial_hatching,12,5,Nguyen2020
21,miracidial_hatching,10,2,Nguyen2020
21,miracidial_hatching,10,3,Nguyen2020
21,miracidial_hatching,9,4,Nguyen2020
21,miracidial_hatching,12,3,Nguyen2020
21,miracidial_hatching,15,2,Nguyen2020
21,miracidial_hatching,5,1,Nguyen2020
21,miracidial_hatching,7,3,Nguyen2020
22,miracidial_hatching,6,2,Nguyen2020
22,miracidial_hatching,3,1,Nguyen2020
22,miracidial_hatching,6,3,Nguyen2020
22,miracidial_hatching,6,3,Nguyen2020
22,miracidial_hatching,9,5,Nguyen2020
22,miracidial_hatching,9,4,Nguyen2020
22,miracidial_hatching,5,3,Nguyen2020
22,miracidial_hatching,6,4,Nguyen2020
22,miracidial_hatching,7,4,Nguyen2020
22,miracidial_hatching,7,4,Nguyen2020
22,miracidial_hatching,8,5,Nguyen2020
22,miracidial_hatching,5,3,Nguyen2020
22,miracidial_hatching,4,2,Nguyen2020
22,miracidial_hatching,2,1,Nguyen2020
22,miracidial_hatching,9,3,Nguyen2020
22,miracidial_hatching,3,0,Nguyen2020
22,miracidial_hatching,9,3,Nguyen2020
22,miracidial_hatching,7,5,Nguyen2020
22,miracidial_hatching,10,2,Nguyen2020
22,miracidial_hatching,7,3,Nguyen2020
22,miracidial_hatching,4,2,Nguyen2020
22,miracidial_hatching,10,4,Nguyen2020
22,miracidial_hatching,11,3,Nguyen2020
22,miracidial_hatching,9,2,Nguyen2020
22,miracidial_hatching,16,6,Nguyen2020
22,miracidial_hatching,19,8,Nguyen2020
22,miracidial_hatching,8,2,Nguyen2020
22,miracidial_hatching,8,2,Nguyen2020
22,miracidial_hatching,7,2,Nguyen2020
22,miracidial_hatching,14,6,Nguyen2020
22,miracidial_hatching,26,5,Nguyen2020
22,miracidial_hatching,17,6,Nguyen2020
22,miracidial_hatching,18,4,Nguyen2020
22,miracidial_hatching,23,6,Nguyen2020
22,miracidial_hatching,11,4,Nguyen2020
22,miracidial_hatching,12,5,Nguyen2020
22,miracidial_hatching,18,5,Nguyen2020
22,miracidial_hatching,18,8,Nguyen2020
22,miracidial_hatching,11,3,Nguyen2020
22,miracidial_hatching,5,2,Nguyen2020
22,miracidial_hatching,7,4,Nguyen2020
22,miracidial_hatching,6,1,Nguyen2020
22,miracidial_hatching,12,5,Nguyen2020
22,miracidial_hatching,4,0,Nguyen2020
22,miracidial_hatching,4,1,Nguyen2020
22,miracidial_hatching,13,3,Nguyen2020
22,miracidial_hatching,10,2,Nguyen2020
22,miracidial_hatching,7,3,Nguyen2020
22,miracidial_hatching,12,4,Nguyen2020
22,miracidial_hatching,11,2,Nguyen2020
22,miracidial_hatching,12,5,Nguyen2020
22,miracidial_hatching,9,6,Nguyen2020
22,miracidial_hatching,3,1,Nguyen2020
22,miracidial_hatching,10,3,Nguyen2020
22,miracidial_hatching,6,3,Nguyen2020
22,miracidial_hatching,9,1,Nguyen2020
22,miracidial_hatching,10,4,Nguyen2020
22,miracidial_hatching,10,3,Nguyen2020
22,miracidial_hatching,9,4,Nguyen2020
22,miracidial_hatching,11,3,Nguyen2020
22,miracidial_hatching,8,4,Nguyen2020
22,miracidial_hatching,7,3,Nguyen2020
22,miracidial_hatching,5,2,Nguyen2020
22,miracidial_hatching,7,3,Nguyen2020
22,miracidial_hatching,6,1,Nguyen2020
22,miracidial_hatching,5,3,Nguyen2020
22,miracidial_hatching,7,6,Nguyen2020
22,miracidial_hatching,5,2,Nguyen2020
22,miracidial_hatching,5,2,Nguyen2020
22,miracidial_hatching,12,5,Nguyen2020
22,miracidial_hatching,10,3,Nguyen2020
22,miracidial_hatching,12,2,Nguyen2020
25,miracidial_hatching,5,3,Nguyen2020
25,miracidial_hatching,2,1,Nguyen2020
25,miracidial_hatching,3,1,Nguyen2020
25,miracidial_hatching,4,2,Nguyen2020
25,miracidial_hatching,6,5,Nguyen2020
25,miracidial_hatching,45,24,Nguyen2020
25,miracidial_hatching,10,3,Nguyen2020
25,miracidial_hatching,7,2,Nguyen2020
25,miracidial_hatching,2,1,Nguyen2020
25,miracidial_hatching,5,2,Nguyen2020
25,miracidial_hatching,5,2,Nguyen2020
25,miracidial_hatching,2,1,Nguyen2020
25,miracidial_hatching,3,3,Nguyen2020
