#---
#profile: tabular-data-package
#name: trait_observations
#manuscript_title: Interventions can shift the thermal optimum for parasitic disease
#  transmission
#dataset_title: Temperature-specific observations of various Schistosoma mansoni and
#  Biomphalaria traits
#author: K.H. Nguyen, P.H. Boersch-Supan, R.B. Hartman, S.Y. Mendiola, V.J. Harwood,
#  D.J. Civitello, J.R. Rohr
#data_url: https://doi.org/10.5281/zenodo.4494270
#note: Full bibliographic details of data sources can be found in Nguyen et al. (2021)
#fields:
#- name: temperature
#  type: number
#- name: variable
#  type: string
#- name: value
#  type: number
#- name: parameter_type
#  type: string
#- name: source
#  type: string
#  levels:
#  - Anderson1982
#  - El-Hassan1974
#  - El-Hassan1974,Foster1964
#  - Mangal2008
#  - Nguyen2021
#--- 
temperature,variable,value,parameter_type,source
10,mu_2,0.007525751,raw,"El-Hassan1974,Foster1964"
15,mu_2,0.012453813,raw,"El-Hassan1974,Foster1964"
20,mu_2,0.007525751,raw,"El-Hassan1974,Foster1964"
22.85,mu_2,0.0031,raw,"El-Hassan1974,Foster1964"
24,mu_2,0.0033,raw,"El-Hassan1974,Foster1964"
25,mu_2,0.005955829,raw,"El-Hassan1974,Foster1964"
26,mu_2,0.0039,raw,"El-Hassan1974,Foster1964"
28,mu_2,0.0085,raw,"El-Hassan1974,Foster1964"
30,mu_2,0.015938825,raw,"El-Hassan1974,Foster1964"
35,mu_2,0.036487545,raw,"El-Hassan1974,Foster1964"
5,mu_3,4.9,raw,Anderson1982
10,mu_3,2.18,raw,Anderson1982
15,mu_3,1.5,raw,Anderson1982
20,mu_3,2,raw,Anderson1982
25,mu_3,2.53,raw,Anderson1982
30,mu_3,4.36,raw,Anderson1982
35,mu_3,4.44,raw,Anderson1982
20,beta_2,0.000127,raw,Mangal2008
25,beta_2,9.1e-05,raw,Mangal2008
30,beta_2,0.0014,raw,Mangal2008
35,beta_2,0.0012,raw,Mangal2008
10,mu_4,0.945018466636615,raw,Nguyen2021
15,mu_4,0.79378326234816,raw,Nguyen2021
20,mu_4,1.28012194208038,raw,Nguyen2021
25,mu_4,1.41437478770863,raw,Nguyen2021
30,mu_4,2.27092544234837,raw,Nguyen2021
35,mu_4,3.98682249073251,raw,Nguyen2021
40,mu_4,11.8957155008575,raw,Nguyen2021
10,a_s,0,raw,El-Hassan1974
12.5,a_s,0.055,raw,El-Hassan1974
15,a_s,0.166,raw,El-Hassan1974
20,a_s,0.663,raw,El-Hassan1974
25,a_s,0.849,raw,El-Hassan1974
28,a_s,0.228,raw,El-Hassan1974
30,a_s,0.057,raw,El-Hassan1974
35,a_s,0,raw,El-Hassan1974
